datetime,no2_value,pm10_value,pm25_value,so2_value
2025-02-19T01:45:00+05:30,46.1,144,55,8
2025-02-19T02:00:00+05:30,50.1,144,55,6.5
2025-02-19T02:15:00+05:30,49.1,144,55,6.2
2025-02-19T02:30:00+05:30,49.1,144,55,6.3
2025-02-19T02:45:00+05:30,48.8,137,59,6
2025-02-19T03:00:00+05:30,48.9,137,59,7
2025-02-19T03:15:00+05:30,52.6,137,59,7.6
2025-02-19T03:30:00+05:30,48.7,137,59,7
2025-02-19T03:45:00+05:30,49.5,139,59,6.8
2025-02-19T04:00:00+05:30,52.2,139,59,6.3
2025-02-19T04:15:00+05:30,51.4,139,59,5.6
2025-02-19T04:30:00+05:30,52.1,139,59,5.8
2025-02-19T04:45:00+05:30,51,114,48,5.3
2025-02-19T05:00:00+05:30,46.4,114,48,4.5
2025-02-19T05:30:00+05:30,32.1,114,48,4.1
2025-02-19T05:45:00+05:30,38.6,96,42,4.6
2025-02-19T06:00:00+05:30,45.3,96,42,4.1
2025-02-19T06:15:00+05:30,48.8,96,42,5.2
2025-02-19T06:30:00+05:30,47.4,96,42,4.5
2025-02-19T06:45:00+05:30,46,134,66,5
2025-02-19T07:00:00+05:30,49.2,134,66,5.4
2025-02-19T07:15:00+05:30,50.7,134,66,5.4
2025-02-19T07:30:00+05:30,50.8,134,66,7.1
2025-02-19T07:45:00+05:30,45.9,151,70,6.8
2025-02-19T08:00:00+05:30,54.5,151,70,8.8
2025-02-19T08:15:00+05:30,50.7,151,70,11.2
2025-02-19T08:30:00+05:30,50.6,151,70,11.4
2025-02-19T08:45:00+05:30,52.3,152,70,11.8
2025-02-19T09:00:00+05:30,61.1,152,70,11.6
2025-02-19T09:15:00+05:30,56.1,152,70,11.9
2025-02-19T09:30:00+05:30,55.2,152,70,12.4
2025-02-19T09:45:00+05:30,58.6,157,70,12.3
2025-02-19T10:00:00+05:30,59.3,157,70,12.2
2025-02-19T10:15:00+05:30,55.7,157,70,12.5
2025-02-19T10:30:00+05:30,57,157,70,13.1
2025-02-19T10:45:00+05:30,51.7,122,47,12.9
2025-02-19T11:00:00+05:30,48.2,122,47,813.8
2025-02-19T11:15:00+05:30,46.5,122,47,592.1
2025-02-19T11:30:00+05:30,47.2,122,47,12.9
2025-02-19T11:45:00+05:30,-1.6,101,39,12.2
2025-02-19T12:00:00+05:30,13.7,101,39,10.6
2025-02-19T12:15:00+05:30,39.6,101,39,9.6
2025-02-19T12:30:00+05:30,39.7,101,39,9.5
2025-02-19T12:45:00+05:30,39.7,78,30,8.8
2025-02-19T13:00:00+05:30,39.7,78,30,9
2025-02-19T13:30:00+05:30,40.8,78,30,9.5
2025-02-19T13:45:00+05:30,39.4,80,31,9.7
2025-02-19T14:00:00+05:30,40.4,80,31,9.5
2025-02-19T14:15:00+05:30,40.6,80,31,9.9
2025-02-19T14:30:00+05:30,39.7,80,31,9.3
2025-02-19T14:45:00+05:30,39.1,74,31,8.7
2025-02-19T15:15:00+05:30,38.6,74,31,9
2025-02-19T15:45:00+05:30,38.3,75,35,8.8
2025-02-19T16:00:00+05:30,39.2,75,35,8.8
2025-02-19T16:15:00+05:30,39.5,75,35,8.3
2025-02-19T17:15:00+05:30,40.4,68,30,7.8
2025-02-19T17:30:00+05:30,36.5,68,30,8
2025-02-19T17:45:00+05:30,35.9,79,31,8.5
2025-02-19T18:00:00+05:30,38.5,79,31,8.3
2025-02-19T18:15:00+05:30,38,79,31,8.2
2025-02-19T18:45:00+05:30,46.7,75,29,8.6
2025-02-20T00:45:00+05:30,37.7,119,35,7.1
2025-02-20T01:00:00+05:30,42.4,119,35,7.7
2025-02-20T01:15:00+05:30,41.7,119,35,7.3
2025-02-20T01:30:00+05:30,44.5,119,35,7.1
2025-02-20T02:00:00+05:30,41.7,134,44,7.3
2025-02-20T02:15:00+05:30,43.7,134,44,7.1
2025-02-20T02:30:00+05:30,44,134,44,7.4
2025-02-20T02:45:00+05:30,44.2,113,35,8
2025-02-20T03:00:00+05:30,42.1,113,35,7.4
2025-02-20T03:15:00+05:30,41.2,113,35,7.4
2025-02-20T03:45:00+05:30,38.1,120,57,7.9
2025-02-20T04:00:00+05:30,39.7,120,57,8
2025-02-20T04:15:00+05:30,42.4,120,57,8.8
2025-02-20T04:30:00+05:30,38.8,120,57,8.3
2025-02-20T04:45:00+05:30,38.7,128,62,7.9
2025-02-20T05:15:00+05:30,36.3,128,62,7.6
2025-02-20T05:30:00+05:30,35.5,128,62,7
2025-02-20T05:45:00+05:30,36,97,40,7.8
2025-02-20T06:00:00+05:30,36.4,97,40,7.1
2025-02-20T06:15:00+05:30,37.9,97,40,7
2025-02-20T06:30:00+05:30,38.8,97,40,6.9
2025-02-20T06:45:00+05:30,36.7,103,47,6.5
2025-02-20T07:00:00+05:30,40.7,103,47,6.9
2025-02-20T07:15:00+05:30,40.1,103,47,7
2025-02-20T07:30:00+05:30,46.7,103,47,7.4
2025-02-20T07:45:00+05:30,48.7,139,58,7
2025-02-20T08:15:00+05:30,45.4,139,58,7.8
2025-02-20T08:45:00+05:30,51.6,133,45,8.4
2025-02-20T09:00:00+05:30,50.9,133,45,8.5
2025-02-20T09:15:00+05:30,43.2,133,45,9.2
2025-02-20T10:00:00+05:30,51.3,113,40,8
2025-02-22T17:00:00+05:30,27.5,53,18,
2025-02-22T17:45:00+05:30,36.4,0,,4
2025-02-22T18:00:00+05:30,40.9,52,17,3.9
2025-02-22T20:15:00+05:30,45.5,128,24,
